StkNmS,Year, Total_Catch ,Total_ER, Spawn_Escape , Total_Run 
Stk1,1952,155284,83.7128563,30212,185496
Stk1,1953,894142,85.3044044,154036,1048178
Stk1,1954,206766,85.5055083,35050,241816
Stk1,1955,139325,87.6423225,2159,158970
Stk1,1956,68209,73.1628571,25020,93229
Stk1,1957,313421,57.1653434,234850,548271
Stk1,1958,118860,75.3867328,38807,157667
Stk1,1959,23855,89.9340245,2670,26525
Stk1,1960,67560,65.8049812,14447,102667
Stk1,1961,1026201,83.7631681,198921,1225122
Stk1,1962,81816,75.3842185,26716,108532
Stk1,1963,10315,69.1261225,4607,14922
Stk1,1964,44072,57.9300192,2390,76078
Stk1,1965,233280,91.0094606,23045,256325
Stk1,1966,59920,84.6925795,10830,70750
Stk1,1967,77477,78.6400869,21044,98521
Stk1,1968,26243,94.5182784,1522,27765
Stk1,1969,321518,74.5682128,109655,431173
Stk1,1970,50177,59.3347208,34389,84566
Stk1,1971,230202,70.5833655,95940,326142
Stk1,1972,18883,80.2166525,4657,23540
Stk1,1973,1066289,78.0488822,299892,1366181
Stk1,1974,147403,78.8584482,39518,186921
Stk1,1975,345453,81.0538196,65752,426202
Stk1,1976,27835,70.2975048,11761,39596
Stk1,1977,1225011,91.2514824,117445,1342456
Stk1,1978,96271,65.8150743,50004,146275
Stk1,1979,129956,58.3542133,92746,222702
Stk1,1980,14789,46.6118255,16939,31728
Stk1,1981,626044,82.864748,129457,755501
Stk1,1982,67246,83.9263651,4557,80125
Stk1,1983,67121,73.7690684,23867,90988
Stk1,1984,10844,19.3487376,45201,56045
Stk1,1985,122311,34.2771067,234519,356830
Stk1,1986,17016,37.3157895,28584,45600
Stk1,1987,29573,16.635821,148194,177767
Stk1,1988,41768,18.8505021,179807,221575
Stk1,1989,827000,68.2456414,384799,1211799
Stk1,1990,57830,37.3422013,97035,154865
Stk1,1991,371334,72.4620599,141119,512453
Stk1,1992,171309,48.8885781,65617,350407
Stk1,1993,463676,40.2621298,687967,1151643
Stk1,1994,46414,22.7246689,29831,204245
Stk1,1995,15455,11.1859009,122710,138165
Stk1,1996,7981,8.3526949,87569,95550
Stk1,1997,771707,46.1620463,265697,1671734.818
Stk1,1998,21020,11.0771864,30952,189759.3781
Stk1,1999,26804,15.6174431,24532,171628.6063
Stk1,2000,225958,59.7469714,89747,378191.5546
Stk1,2001,43280,20.2067362,170906,214186
Stk1,2002,5717,9.1234062,24637,62663
Stk1,2003,1160.908295,3.8344916,13166,30275.41626
Stk1,2004,40755.97355,29.7271632,9281,137100.1104
Stk1,2005,21495.43282,9.7841562,98537,219696.3372
Stk1,2006,7625.651068,13.6705145,35816,55781.74138
Stk1,2007,971.0157258,7.6284884,5347,12728.80909
Stk1,2008,4138.643721,12.1704613,29867,34005.64372
Stk1,2009,9569.342469,11.7459429,45297,81469.34247
Stk1,2010,6132.356837,5.8471842,60262,104877.0937
Stk1,2011,2229.801333,10.5404031,757,21154.80133
Stk4,1952,NA,#VALUE!,NA,NA
Stk4,1953,NA,#VALUE!,NA,NA
Stk4,1954,NA,#VALUE!,NA,NA
Stk4,1955,NA,#VALUE!,NA,NA
Stk4,1956,NA,#VALUE!,NA,NA
Stk4,1957,NA,#VALUE!,NA,NA
Stk4,1958,15,75,5,20
Stk4,1959,125,82.2368421,27,152
Stk4,1960,NA,#VALUE!,NA,NA
Stk4,1961,NA,#VALUE!,NA,NA
